,Name,SeasonWins,Points,FGM,FGM3,FTA,Off Rebounds,Def Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,YearsExp,Conf_Champs,WSeed,TourneyWins
23,Ohio St,19,69.63636363636364,24.151515151515152,7.545454545454546,18.78787878787879,9.393939393939394,25.363636363636363,14.242424242424242,12.545454545454545,5.909090909090909,2.515151515151515,17.90909090909091,35.0,0,11,1
24,Oklahoma,19,71.15625,25.9375,6.625,18.3125,9.21875,28.375,12.6875,12.1875,5.9375,3.09375,15.75,35.0,0,9,1
25,Oregon,23,70.48571428571428,25.314285714285713,7.6,17.057142857142857,9.714285714285714,24.714285714285715,13.342857142857143,11.8,7.771428571428571,4.228571428571429,17.771428571428572,35.0,1,12,2
26,Purdue,23,76.1875,26.78125,9.71875,17.625,12.21875,24.5625,14.4375,10.6875,6.5,4.03125,17.5,35.0,0,3,3
27,Tennessee,28,81.66666666666667,29.696969696969695,6.909090909090909,20.03030303030303,10.272727272727273,26.90909090909091,18.09090909090909,11.181818181818182,5.878787878787879,5.2727272727272725,17.515151515151516,35.0,0,2,2
28,Texas Tech,26,73.09375,26.15625,7.25,18.59375,8.84375,25.4375,14.03125,12.375,7.375,4.90625,17.78125,35.0,0,3,5
29,UC Irvine,29,72.47058823529412,26.941176470588236,6.794117647058823,16.852941176470587,11.647058823529411,28.38235294117647,13.235294117647058,11.529411764705882,5.5,4.264705882352941,18.5,35.0,1,13,1
30,UCF,23,72.12903225806451,24.677419354838708,6.806451612903226,24.741935483870968,9.806451612903226,26.93548387096774,13.258064516129032,11.903225806451612,5.741935483870968,4.483870967741935,16.903225806451612,35.0,0,9,1
31,Villanova,25,74.47058823529412,24.705882352941178,10.617647058823529,19.852941176470587,10.5,24.91176470588235,14.264705882352942,11.294117647058824,5.411764705882353,3.0294117647058822,16.41176470588235,35.0,1,6,1
32,Virginia,29,71.84375,25.625,8.46875,16.25,8.875,25.75,14.5,9.03125,5.625,3.8125,14.65625,35.0,0,1,6
33,Virginia Tech,24,74.0,25.75,9.59375,17.03125,8.90625,23.6875,15.34375,11.375,6.65625,2.3125,15.28125,35.0,0,4,2
34,Washington,26,69.82352941176471,24.558823529411764,7.470588235294118,19.058823529411764,9.470588235294118,22.11764705882353,11.676470588235293,13.352941176470589,9.0,5.735294117647059,18.41176470588235,35.0,0,9,1
35,Wofford,26,81.2,29.3,10.866666666666667,16.633333333333333,10.3,24.433333333333334,14.7,11.233333333333333,6.133333333333334,2.933333333333333,17.5,24.0,1,7,1
